NewQuestion,MC,,,
Title,,,,
QuestionText,"Choose the organization listed below that takes a proactive role in developing recommendations and prototype technologies related to the Web.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"ARPA",,
Option,0.00,"CERN",,
Option,0.00,"ICANN",,
Option,100.00,"W3C",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"A ________ consists of two or more computer connected for the purpose of communicating and sharing resources",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"server",,
Option,100.00,"network",,
Option,0.00,"client",,
Option,0.00,"MIME",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The first widely used graphical web browser was developed at:",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"CERN",,
Option,100.00,"NCSA",,
Option,0.00,"W3C",,
Option,0.00,"ARPA",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"A domain name is a unique text-based Internet address corresponding to a unique ____________.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"IP address",,
Option,0.00,"domain name",,
Option,0.00,"URL",,
Option,0.00,"user name",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"New Top Level Domains (TLDs) are coordinated by ",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"ICANN",,
Option,0.00,"no one, because anyone can add a TLD to the Domain Name System",,
Option,0.00,"W3C",,
Option,0.00,"TCP",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The purpose of the ___________ protocol is to ensure the integrity of the communication.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"HTTP",,
Option,0.00,"IP",,
Option,100.00,"TCP",,
Option,0.00,"FTP",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The ____ protocol is a set of rules that controls how data is sent between computers on the Internet. ",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"HTTP",,
Option,100.00,"IP",,
Option,0.00,"TCP",,
Option,0.00,"FTP",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the item below that lists the top level domain name for the URL http://www.yahoo.com.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"http",,
Option,0.00,"www",,
Option,0.00,"yahoo",,
Option,100.00,"com ",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the main reason for the initial development of the World Wide Web from the list below:",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"To allow companies to advertise over the Internet.",,
Option,0.00,"To allow companies to conduct commerce over the Internet",,
Option,100.00,"To allow communication between researchers and links between research papers",,
Option,0.00,"none of the above",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the true statement from the list below.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"When a domain name ends in .com it indicates that it is a computer company.",,
Option,0.00,"A country code domain name can only be owned by someone who resides in that country.",,
Option,0.00,"Only non-profit organizations can purchase a .org domain name",,
Option,0.00,"Anyone can purchase a .edu domain name",,
Option,100.00,"None of the statements listed are true",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select protocols that are used for e-mail processing.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"ETP, FTP",,
Option,0.00,"SMTP, POP3",,
Option,100.00,"SMTP, POP3, IMAP",,
Option,0.00,"ETP, FTP, SMTP",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"______ is a set of rules for exchanging files such as text, graphic images, sound, video, and other multimedia files on the Web.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"IP",,
Option,0.00,"TCP",,
Option,0.00,"FTP",,
Option,100.00,"HTTP",,
NewQuestion,MC,,,
Title,,,,
QuestionText," A(n) _______ website provides accommodations to individuals with visual, auditory, physical, and neurological disabilities.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"popular",,
Option,100.00,"accessible",,
Option,0.00,"reliable",,
Option,0.00,"none of these",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The meta element is coded in the ___________ section of a web page document.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"body",,
Option,100.00,"head",,
Option,0.00,"footer",,
Option,0.00,"DOCTYPE",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The text contained between title tags is:",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"Not displayed by browsers.",,
Option,100.00,"Displayed in the title bar of the browser window, as well as on the browser tabs.",,
Option,0.00,"Not used by search engines.",,
Option,0.00,"Never seen by your web page visitor.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Choose the TRUE statement below.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"The content that displays in the browser is contained in the head section.",,
Option,0.00,"Information about the web page is contained in the body section.",,
Option,0.00,"The content that displays in the browser is contained in the body section.",,
Option,100.00,"All three statements are true.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"An ________________ modifies or further describes the function of an",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"element.",,
Option,0.00,"tag",,
Option,0.00,"doctype",,
Option,100.00,"attribute",,
Option,0.00,"none of these are valid",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"A web page document is contained between opening and closing ________tags.",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"html",,
Option,0.00,"doctype",,
Option,0.00,"head",,
Option,0.00,"body",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What port is normally used for email?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"80",,
Option,0.00,"21",,
Option,100.00,"25",,
Option,0.00,"120",,
Option,0.00,"240",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What port is normally used for FTP (File Transfer Protocol)?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"80",,
Option,100.00,"21",,
Option,0.00,"25",,
Option,0.00,"120",,
Option,0.00,"240",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What port is used normally used for HTTP:// (web pages)?",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"80",,
Option,0.00,"21",,
Option,0.00,"25",,
Option,0.00,"120",,
Option,0.00,"240",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"A port is like an electronic version of __________________.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"a dock where a boat is parked",,
Option,100.00,"a doorway",,
Option,0.00,"a house number",,
Option,0.00,"a serial number",,
Option,0.00,"a driver's license number",,
Feedback,"A port is like a doorway into a computer system. Each port has a number such as port 80. This allows the system to check for incoming requests from the network. Almost all ports are kept closed so the system only has to monitor a few specific ones for security purposes.",,,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: In the USA we are trained from an early age to think visually as well as with words.",,,
Points,1,,,
Difficulty,1,,,
TRUE,0,"",,
FALSE,100,"",,
NewQuestion,TF,,,
Title,,,,
QuestionText,"True or False: You can use the Web to portray your own personality to the world.",,,
Points,1,,,
Difficulty,1,,,
TRUE,100,"",,
FALSE,0,"",,